Type;Dist;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;59.80000004000000000000;104.88000000000000000000;214.05333324000000000000;1979.81333336000000000000;790.05333332000000000000;3148.59999996000000000000;.01240000000000000000;10821018.49360000000000000000;10179052.49280000000000000000;79056.81400000000000000000;3701.24000000000000000000;71303.07880000000000000000;3269074.78640000000000000000;3.00000000000000000000;.94920000000000000000;.97080000000000000000;3.31360000000000000000
1;1.0;51.74666656000000000000;89.17333348000000000000;141.57333336000000000000;1310.55999996000000000000;14210.82666656000000000000;15803.87999992000000000000;.05000000000000000000;54934289.57400000000000000000;70469364.62560000000000000000;74918.05240000000000000000;4793.66720000000000000000;95262.93360000000000000000;16260825.89400000000000000000;3.00000000000000000000;1.28800000000000000000;1.00000000000000000000;3.37840000000000000000
2;0.5;71.74666668000000000000;103.29333340000000000000;171.05333332000000000000;1558.06666676000000000000;16616.58666668000000000000;18520.74666660000000000000;.06000000000000000000;64153138.37400000000000000000;57133160.93440000000000000000;205248.77360000000000000000;72593.53320000000000000000;79292.29360000000000000000;19072936.89400000000000000000;3.00000000000000000000;.89200000000000000000;1.00000000000000000000;3.36320000000000000000
2;1.0;70.34666664000000000000;106.49333340000000000000;185.82666660000000000000;1537.41333336000000000000;306652.13333340000000000000;308552.21333336000000000000;.92520000000000000000;1044800002.46640000000000000000;1015692051.90640000000000000000;2757288.06680000000000000000;1955820.82680000000000000000;106619.93400000000000000000;309192339.46640000000000000000;3.00000000000000000000;.97000000000000000000;1.00000000000000000000;3.38000000000000000000
3;0.5;54.48000000000000000000;82.03999992000000000000;130.45333328000000000000;1213.18666660000000000000;812.23999996000000000000;2292.40000000000000000000;.01000000000000000000;8928696.30680000000000000000;10538887.74680000000000000000;56420.77320000000000000000;3482.62640000000000000000;69107.69320000000000000000;2712302.49320000000000000000;3.00000000000000000000;1.18120000000000000000;1.00000000000000000000;3.29000000000000000000
3;1.0;54.64000008000000000000;82.70666668000000000000;130.81333344000000000000;1198.00000004000000000000;17100.98666664000000000000;18567.14666664000000000000;.06000000000000000000;62530767.62640000000000000000;89105244.29240000000000000000;68623.84000000000000000000;5834.64040000000000000000;100876.07960000000000000000;18993273.34680000000000000000;3.00000000000000000000;1.42520000000000000000;1.00000000000000000000;3.29000000000000000000
4;0.5;86.24000000000000000000;140.52000000000000000000;328.92000000000000000000;2012.64000000000000000000;655398.64000000000000000000;657966.96000000000000000000;.65840000000000000000;2170185563.40000000000000000000;3159551003.32000000000000000000;198253.20000000000000000000;61613.16000000000000000000;1193436.80000000000000000000;659167642.24000000000000000000;1.00000000000000000000;1.45880000000000000000;1.00000000000000000000;3.29000000000000000000
4;1.0;93.60000000000000000000;153.16000000000000000000;366.16000000000000000000;2166.76000000000000000000;14837221.84000000000000000000;14840001.52000000000000000000;14.84120000000000000000;50143466303.84000000000000000000;67249736757.52000000000000000000;11670160.00000000000000000000;234206.60000000000000000000;21789278.68000000000000000000;14841590345.40000000000000000000;1.00000000000000000000;1.34240000000000000000;1.00000000000000000000;3.37840000000000000000
5;0.5;93.16000000000000000000;136.16000000000000000000;316.60000000000000000000;1937.60000000000000000000;647144.64000000000000000000;649628.16000000000000000000;.65200000000000000000;2142406366.84000000000000000000;3201814265.20000000000000000000;262368.48000000000000000000;133184.36000000000000000000;996778.68000000000000000000;650725734.44000000000000000000;1.00000000000000000000;1.49520000000000000000;1.00000000000000000000;3.29000000000000000000
5;1.0;94.52000000000000000000;140.24000000000000000000;328.04000000000000000000;1957.08000000000000000000;13882978.20000000000000000000;13885498.08000000000000000000;13.88640000000000000000;45720944247.56000000000000000000;67785879618.64000000000000000000;4639362.64000000000000000000;2053211.04000000000000000000;21877881.28000000000000000000;13887003863.20000000000000000000;1.00000000000000000000;1.48320000000000000000;1.00000000000000000000;3.29000000000000000000
