Type;Dist;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;61.32000000000000000000;99.16000000000000000000;165.86666672000000000000;1462.13333340000000000000;775.86666668000000000000;2564.34666668000000000000;.01000000000000000000;9921619.50640000000000000000;9632459.14640000000000000000;70721.60000000000000000000;36922.96080000000000000000;69002.09320000000000000000;3087480.38640000000000000000;3.00000000000000000000;.97720000000000000000;1.00000000000000000000;3.21600000000000000000
1;1.0;50.57333328000000000000;88.74666664000000000000;140.90666664000000000000;1290.52000000000000000000;14022.50666660000000000000;15593.25333336000000000000;.05000000000000000000;54055242.65360000000000000000;70473353.11960000000000000000;72175.18680000000000000000;9150.09400000000000000000;98034.25360000000000000000;16051779.68040000000000000000;3.00000000000000000000;1.30320000000000000000;1.00000000000000000000;3.36800000000000000000
2;0.5;60.78666672000000000000;88.69333340000000000000;140.50666668000000000000;1293.73333336000000000000;13880.98666664000000000000;15464.70666664000000000000;.05000000000000000000;52375317.03880000000000000000;54219696.93360000000000000000;152786.92000000000000000000;83917.06640000000000000000;70334.55960000000000000000;15923501.30640000000000000000;3.00000000000000000000;1.03600000000000000000;1.00000000000000000000;3.28760000000000000000
2;1.0;68.06666660000000000000;101.98666676000000000000;177.73333332000000000000;1479.38666664000000000000;311839.11999992000000000000;313666.29333340000000000000;.94200000000000000000;1033721576.54720000000000000000;1015693033.93360000000000000000;2716215.29400000000000000000;1964015.11840000000000000000;108340.26560000000000000000;314281640.59960000000000000000;3.00000000000000000000;.97920000000000000000;1.00000000000000000000;3.29000000000000000000
3;0.5;73.13333332000000000000;105.61333332000000000000;169.53333336000000000000;1553.85333332000000000000;1112.05333340000000000000;3014.18666660000000000000;.01000000000000000000;11923249.18800000000000000000;11077806.98680000000000000000;78455.91960000000000000000;8439.97320000000000000000;72561.18600000000000000000;3564110.85280000000000000000;3.00000000000000000000;.93000000000000000000;1.00000000000000000000;3.34760000000000000000
3;1.0;58.53333328000000000000;85.61333336000000000000;137.20000000000000000000;1240.02666672000000000000;17555.90666672000000000000;19077.28000000000000000000;.06000000000000000000;64183188.38680000000000000000;89102366.43960000000000000000;68705.86680000000000000000;12429.90640000000000000000;104391.73400000000000000000;19523210.53360000000000000000;3.00000000000000000000;1.38840000000000000000;1.00000000000000000000;3.28600000000000000000
4;0.5;106.20000000000000000000;174.72000000000000000000;421.64000000000000000000;2577.24000000000000000000;810418.08000000000000000000;813697.88000000000000000000;.81560000000000000000;2741529528.00000000000000000000;3283952940.16000000000000000000;1865001.36000000000000000000;67396.16000000000000000000;1710673.40000000000000000000;815187452.92000000000000000000;1.00000000000000000000;1.19880000000000000000;1.00000000000000000000;3.36200000000000000000
4;1.0;89.04000000000000000000;142.16000000000000000000;333.36000000000000000000;2002.48000000000000000000;13973099.24000000000000000000;13975666.28000000000000000000;13.97640000000000000000;45970884261.40000000000000000000;66798670043.64000000000000000000;1805521.32000000000000000000;253878.96000000000000000000;21466625.68000000000000000000;13977253745.48000000000000000000;1.00000000000000000000;1.45360000000000000000;1.00000000000000000000;3.29000000000000000000
5;0.5;120.36000000000000000000;176.92000000000000000000;418.96000000000000000000;2454.52000000000000000000;838149.04000000000000000000;841319.80000000000000000000;.84400000000000000000;2834831390.96000000000000000000;3332721358.52000000000000000000;1938391.60000000000000000000;149897.36000000000000000000;1613020.60000000000000000000;842765160.04000000000000000000;1.00000000000000000000;1.17520000000000000000;1.00000000000000000000;3.36160000000000000000
5;1.0;100.64000000000000000000;148.68000000000000000000;356.28000000000000000000;2104.44000000000000000000;14858150.60000000000000000000;14860860.64000000000000000000;14.86280000000000000000;49477479911.32000000000000000000;67994094371.04000000000000000000;10203349.68000000000000000000;2223824.60000000000000000000;22686727.12000000000000000000;14862417367.20000000000000000000;1.00000000000000000000;1.37880000000000000000;1.00000000000000000000;3.32920000000000000000
