Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2220937;13387;20922;52.57333338000000000000;109.77000002000000000000;203.71000001000000000000;1295.72333337000000000000;145736.80333333000000000000;147398.57999998000000000000;.44560000000000000000;486732968.53650000000000000000;701225629.82960000000000000000;82128.94000000000000000000;14233.52010000000000000000;506199.19300000000000000000;147474160.04020000000000000000;3.00000000000000000000;1.44300000000000000000;.99870000000000000000;3.29960000000000000000
2;0.5;2076566;13387;20922;68.62666666000000000000;124.45333335000000000000;237.02666670000000000000;1455.03333332000000000000;216600.16666671000000000000;218485.30666671000000000000;.65430000000000000000;721267566.24720000000000000000;943305576.23350000000000000000;455750.75960000000000000000;351304.93330000000000000000;594160.17690000000000000000;218610366.19300000000000000000;3.00000000000000000000;1.30660000000000000000;.99880000000000000000;3.29930000000000000000
3;0.5;1771348;13387;20922;61.57333338000000000000;108.81333332000000000000;175.16000003000000000000;1249.43333330000000000000;176535.47666669000000000000;178130.45666667000000000000;.53350000000000000000;588001414.00360000000000000000;831717643.59000000000000000000;124021.21360000000000000000;51697.05280000000000000000;573232.80330000000000000000;178270566.59680000000000000000;3.00000000000000000000;1.41410000000000000000;.99900000000000000000;3.29840000000000000000
4;0.5;1867344;13387;20922;87.46000000000000000000;158.62000000000000000000;374.06000000000000000000;2149.98000000000000000000;308724.64000000000000000000;311494.76000000000000000000;.31160000000000000000;1033208215.53000000000000000000;1409988918.51000000000000000000;278543.28000000000000000000;28752.85000000000000000000;794829.17000000000000000000;311639391.52000000000000000000;1.00000000000000000000;1.39170000000000000000;.99830000000000000000;3.31040000000000000000
5;0.5;1935564;13387;20922;98.65000000000000000000;157.30000000000000000000;380.19000000000000000000;2197.36000000000000000000;365650.34000000000000000000;368483.84000000000000000000;.37060000000000000000;1217239630.37000000000000000000;1651201141.02000000000000000000;519069.20000000000000000000;360987.55000000000000000000;882501.92000000000000000000;368732438.09000000000000000000;1.00000000000000000000;1.35690000000000000000;.99880000000000000000;3.30120000000000000000
6;0.5;1798270;13387;20922;95.53000000000000000000;158.81000000000000000000;364.98000000000000000000;2164.43000000000000000000;335606.39000000000000000000;338390.14000000000000000000;.33700000000000000000;1121930318.42000000000000000000;1538912098.85000000000000000000;256310.81000000000000000000;67764.36000000000000000000;867144.21000000000000000000;338585835.05000000000000000000;1.00000000000000000000;1.38860000000000000000;.99880000000000000000;3.31050000000000000000
7;0.5;1746338;13387;20922;59.37666667000000000000;103.16666670000000000000;336.44666668000000000000;1527.87333334000000000000;145133.19999999000000000000;147160.06333333000000000000;.44370000000000000000;486340666.39370000000000000000;701951183.41630000000000000000;94767.73690000000000000000;17130.71320000000000000000;543501.39700000000000000000;147326470.46360000000000000000;3.00000000000000000000;1.44490000000000000000;.99890000000000000000;3.30050000000000000000
8;0.5;1906981;13387;20922;76.09333332000000000000;114.84999999000000000000;369.95000003000000000000;1718.63666666000000000000;222031.76000000000000000000;224311.29000002000000000000;.67540000000000000000;743552135.86680000000000000000;942449805.10000000000000000000;517721.73300000000000000000;352391.21000000000000000000;607015.88650000000000000000;224557979.14670000000000000000;3.00000000000000000000;1.27810000000000000000;.99920000000000000000;3.30860000000000000000
9;0.5;1878487;13387;20922;73.18000002000000000000;109.27333331000000000000;382.22666667000000000000;1616.21333329000000000000;177567.71666671000000000000;179748.61000001000000000000;.54030000000000000000;606802812.89670000000000000000;831057743.77700000000000000000;206994.12350000000000000000;58847.81010000000000000000;594157.65680000000000000000;179848722.90300000000000000000;3.00000000000000000000;1.38670000000000000000;.99860000000000000000;3.37440000000000000000
10;0.5;1808376;13387;20922;62.81000000000000000000;15.82000000000000000000;45.78000000000000000000;1100.85000000000000000000;5.48000000000000000000;1230.74000000000000000000;.00060000000000000000;3153797.15000000000000000000;2929893.54000000000000000000;37925.71000000000000000000;1950.24000000000000000000;30590.25000000000000000000;943178.77000000000000000000;1.00000000000000000000;.97450000000000000000;1.00860000000000000000;3.33360000000000000000
