Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2219520;13387;20922;52.15333332000000000000;61.03000000000000000000;183.85000000000000000000;1033.54000001000000000000;93.92333328000000000000;1424.49666664000000000000;.00120000000000000000;4821560.30360000000000000000;4843437.87670000000000000000;52742.00600000000000000000;3705.27380000000000000000;46550.72020000000000000000;1463935.87340000000000000000;3.00000000000000000000;1.01630000000000000000;.99150000000000000000;3.29200000000000000000
2;0.5;2080380;13387;20922;72.77666666000000000000;71.97000000000000000000;235.16333335000000000000;1320.37666668000000000000;56879.07666664000000000000;58579.36333334000000000000;.17710000000000000000;196297149.90970000000000000000;185247755.03000000000000000000;433110.31000000000000000000;347176.99690000000000000000;82773.14330000000000000000;58877027.25680000000000000000;3.00000000000000000000;.94450000000000000000;.99770000000000000000;3.33350000000000000000
3;0.5;2313569;13387;20922;61.25333334000000000000;59.30333333000000000000;199.80333329000000000000;1112.54666667000000000000;15615.58333333000000000000;17048.48999998000000000000;.05070000000000000000;56754546.34650000000000000000;73691290.69060000000000000000;108158.88690000000000000000;37010.51700000000000000000;71933.69990000000000000000;17237751.75680000000000000000;3.00000000000000000000;1.29880000000000000000;.99540000000000000000;3.29030000000000000000
4;0.5;1993829;13387;20922;88.73000000000000000000;97.47000000000000000000;352.12000000000000000000;1662.30000000000000000000;562.05000000000000000000;2762.67000000000000000000;.00080000000000000000;9882996.75000000000000000000;10154114.26000000000000000000;93416.15000000000000000000;11882.61000000000000000000;77919.98000000000000000000;2982560.72000000000000000000;1.00000000000000000000;1.06390000000000000000;.99740000000000000000;3.30800000000000000000
5;0.5;1782479;13387;20922;93.97000000000000000000;99.78000000000000000000;379.19000000000000000000;1854.70000000000000000000;55585.51000000000000000000;58013.15000000000000000000;.06060000000000000000;191929786.46000000000000000000;190836640.13000000000000000000;454577.42000000000000000000;352703.69000000000000000000;116177.81000000000000000000;58301523.59000000000000000000;1.00000000000000000000;.99520000000000000000;.99490000000000000000;3.28990000000000000000
6;0.5;1865623;13387;20922;88.21000000000000000000;91.47000000000000000000;357.31000000000000000000;1708.38000000000000000000;16200.19000000000000000000;18445.56000000000000000000;.02060000000000000000;61444186.34000000000000000000;79238674.56000000000000000000;141450.12000000000000000000;48992.05000000000000000000;104446.93000000000000000000;18666482.00000000000000000000;1.00000000000000000000;1.28920000000000000000;.99250000000000000000;3.28980000000000000000
7;0.5;2150197;13387;20922;54.30666664000000000000;53.12333330000000000000;314.40666671000000000000;1232.55000000000000000000;112.65000000000000000000;1767.03666669000000000000;.01060000000000000000;6331483.21330000000000000000;6848709.90010000000000000000;74504.24340000000000000000;6745.65020000000000000000;56941.62360000000000000000;1921218.23710000000000000000;3.00000000000000000000;1.09280000000000000000;.99210000000000000000;3.29290000000000000000
8;0.5;2185243;13387;20922;72.12666669000000000000;65.37666664000000000000;416.34000000000000000000;1553.46333331000000000000;55758.25333333000000000000;57865.55999999000000000000;.17170000000000000000;191812705.85690000000000000000;187407448.29000000000000000000;445079.10690000000000000000;377473.44980000000000000000;94858.09650000000000000000;58263230.51360000000000000000;3.00000000000000000000;.97880000000000000000;.99760000000000000000;3.29000000000000000000
9;0.5;2069228;13387;20922;63.19333336000000000000;54.39666665000000000000;375.93333335000000000000;1363.38333337000000000000;15835.48000006000000000000;17692.38666665000000000000;.05070000000000000000;59143380.09300000000000000000;76202867.02630000000000000000;132608.90350000000000000000;46752.25010000000000000000;83604.08700000000000000000;17965882.28030000000000000000;3.00000000000000000000;1.28850000000000000000;.99520000000000000000;3.28990000000000000000
10;0.5;2098872;13387;20922;61.92000000000000000000;17.34000000000000000000;44.48000000000000000000;1078.06000000000000000000;5.19000000000000000000;1206.99000000000000000000;.00060000000000000000;2956430.22000000000000000000;3008743.72000000000000000000;36293.21000000000000000000;1225.75000000000000000000;32039.28000000000000000000;898540.34000000000000000000;1.00000000000000000000;1.04600000000000000000;1.00700000000000000000;3.29000000000000000000
11;0.5;2159199;13387;20922;85.09000000000000000000;22.41000000000000000000;45.29000000000000000000;1210.91000000000000000000;6.91000000000000000000;1370.61000000000000000000;.00060000000000000000;3754729.08000000000000000000;3207317.35000000000000000000;42557.56000000000000000000;1400.01000000000000000000;31418.06000000000000000000;1111132.06000000000000000000;1.00000000000000000000;.86870000000000000000;1.00360000000000000000;3.38420000000000000000
12;0.5;1807923;13387;20922;37.40000000000000000000;53.48000000000000000000;135.82000000000000000000;1256.21000000000000000000;110.50000000000000000000;1593.41000000000000000000;.00060000000000000000;4842503.76000000000000000000;4516648.74000000000000000000;47610.32000000000000000000;2919.78000000000000000000;46962.32000000000000000000;1466277.19000000000000000000;1.00000000000000000000;.96110000000000000000;1.00080000000000000000;3.29910000000000000000
13;0.5;2219594;13387;20922;62.74000000000000000000;73.63000000000000000000;211.43000000000000000000;1793.04000000000000000000;66805.17000000000000000000;68946.01000000000000000000;.07060000000000000000;231591653.21000000000000000000;194977087.40000000000000000000;591747.21000000000000000000;333905.87000000000000000000;117715.37000000000000000000;69022619.78000000000000000000;1.00000000000000000000;.84040000000000000000;.99580000000000000000;3.35520000000000000000
14;0.5;2140313;13387;20922;46.77000000000000000000;51.72000000000000000000;146.41000000000000000000;1387.59000000000000000000;15008.17000000000000000000;16640.66000000000000000000;.02060000000000000000;54367786.54000000000000000000;72865261.38000000000000000000;92462.95000000000000000000;27378.68000000000000000000;74256.40000000000000000000;16516592.34000000000000000000;1.00000000000000000000;1.34060000000000000000;.99270000000000000000;3.28970000000000000000
