Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2137901;13387;20922;36.49333324000000000000;52.65666670000000000000;190.83333332000000000000;1044.62333333000000000000;92.38666670000000000000;1416.99333335000000000000;.00100000000000000000;4970351.08330000000000000000;4839942.81030000000000000000;58296.61320000000000000000;5565.36290000000000000000;48405.16340000000000000000;1514779.65320000000000000000;3.00000000000000000000;.98710000000000000000;.99140000000000000000;3.28300000000000000000
2;0.5;2047828;13387;20922;48.61666667000000000000;65.49333334000000000000;225.82000001000000000000;1369.77000001000000000000;63393.92666666000000000000;65103.62666665000000000000;.19740000000000000000;215132140.48940000000000000000;193808689.14620000000000000000;405714.58990000000000000000;331029.21670000000000000000;88222.45960000000000000000;65392133.87310000000000000000;3.00000000000000000000;.90190000000000000000;.99780000000000000000;3.28940000000000000000
3;0.5;2105422;13387;20922;47.31000006000000000000;60.81666665000000000000;222.71999999000000000000;1268.94999999000000000000;17582.97333332000000000000;19182.76999996000000000000;.06060000000000000000;63913832.66010000000000000000;81986126.92350000000000000000;110871.05360000000000000000;67540.19010000000000000000;73855.82020000000000000000;19439166.08950000000000000000;3.00000000000000000000;1.28410000000000000000;.99550000000000000000;3.28610000000000000000
4;0.5;2276578;13387;20922;65.12000000000000000000;98.68000000000000000000;413.37000000000000000000;1945.03000000000000000000;658.24000000000000000000;3180.44000000000000000000;.00070000000000000000;11546739.25000000000000000000;10611049.43000000000000000000;111736.80000000000000000000;12403.61000000000000000000;79631.43000000000000000000;3423068.97000000000000000000;1.00000000000000000000;.92290000000000000000;.99320000000000000000;3.37320000000000000000
5;0.5;2421798;13387;20922;77.12000000000000000000;112.25000000000000000000;503.93000000000000000000;2382.52000000000000000000;75833.14000000000000000000;78908.96000000000000000000;.08060000000000000000;267043016.07000000000000000000;210184236.80000000000000000000;637423.31000000000000000000;352225.80000000000000000000;155814.34000000000000000000;79451615.80000000000000000000;1.00000000000000000000;.78650000000000000000;.99570000000000000000;3.36120000000000000000
6;0.5;1882321;13387;20922;55.36000000000000000000;81.98000000000000000000;367.61000000000000000000;1809.24000000000000000000;17697.64000000000000000000;20011.83000000000000000000;.02060000000000000000;66565159.66000000000000000000;87393176.89000000000000000000;146235.53000000000000000000;52086.33000000000000000000;106713.53000000000000000000;20228999.21000000000000000000;1.00000000000000000000;1.31320000000000000000;.99250000000000000000;3.28890000000000000000
7;0.5;1907810;13387;20922;46.20333337000000000000;65.95333337000000000000;387.24333332000000000000;1560.22999998000000000000;141.47333333000000000000;2201.10333334000000000000;.01060000000000000000;8193207.03360000000000000000;7222507.26960000000000000000;89297.06340000000000000000;8194.19010000000000000000;60126.55350000000000000000;2430481.76660000000000000000;3.00000000000000000000;.88390000000000000000;.99200000000000000000;3.37160000000000000000
8;0.5;2046813;13387;20922;67.11333331000000000000;82.93000001000000000000;533.45333336000000000000;1972.26666664000000000000;76101.27333331000000000000;78757.03666666000000000000;.23960000000000000000;266602860.17680000000000000000;208389529.79320000000000000000;642233.68310000000000000000;352532.58350000000000000000;136316.56310000000000000000;79259247.79320000000000000000;3.00000000000000000000;.78210000000000000000;.99810000000000000000;3.36430000000000000000
9;0.5;2098761;13387;20922;62.90000000000000000000;78.40666665000000000000;527.78000001000000000000;1929.86333333000000000000;21821.74666665000000000000;24420.69666667000000000000;.07220000000000000000;83872520.67960000000000000000;88483402.18980000000000000000;200919.82010000000000000000;81166.49350000000000000000;98210.96280000000000000000;24883192.47680000000000000000;3.00000000000000000000;1.05790000000000000000;.99560000000000000000;3.37160000000000000000
10;0.5;1897552;13387;20922;33.88000000000000000000;12.68000000000000000000;38.27000000000000000000;1032.73000000000000000000;5.18000000000000000000;1122.74000000000000000000;.00050000000000000000;2742280.42000000000000000000;2816499.68000000000000000000;35832.81000000000000000000;1633.71000000000000000000;31206.79000000000000000000;834927.24000000000000000000;1.00000000000000000000;1.02890000000000000000;1.00890000000000000000;3.28810000000000000000
11;0.5;1953009;13387;20922;35.50000000000000000000;13.74000000000000000000;44.46000000000000000000;1056.12000000000000000000;5.92000000000000000000;1155.74000000000000000000;.00060000000000000000;2770264.13000000000000000000;2813372.51000000000000000000;35504.95000000000000000000;2103.87000000000000000000;30988.56000000000000000000;843131.19000000000000000000;1.00000000000000000000;1.01790000000000000000;1.00930000000000000000;3.28890000000000000000
12;0.5;2482662;13387;20922;32.74000000000000000000;58.85000000000000000000;148.85000000000000000000;1452.57000000000000000000;133.14000000000000000000;1826.15000000000000000000;.00060000000000000000;5950446.14000000000000000000;4828379.28000000000000000000;59521.82000000000000000000;4247.49000000000000000000;48748.69000000000000000000;1764806.76000000000000000000;1.00000000000000000000;.81350000000000000000;1.00100000000000000000;3.37510000000000000000
13;0.5;2251390;13387;20922;37.75000000000000000000;57.06000000000000000000;175.26000000000000000000;1614.40000000000000000000;63300.12000000000000000000;65184.59000000000000000000;.06600000000000000000;214167752.35000000000000000000;193350334.76000000000000000000;391497.90000000000000000000;320352.45000000000000000000;86718.71000000000000000000;65133113.68000000000000000000;1.00000000000000000000;.90450000000000000000;.99540000000000000000;3.28860000000000000000
14;0.5;1871489;13387;20922;40.74000000000000000000;68.16000000000000000000;209.66000000000000000000;1580.90000000000000000000;18093.46000000000000000000;19992.92000000000000000000;.02100000000000000000;66353338.57000000000000000000;81681007.40000000000000000000;99174.68000000000000000000;29306.99000000000000000000;74085.22000000000000000000;19722009.20000000000000000000;1.00000000000000000000;1.23620000000000000000;.99230000000000000000;3.36470000000000000000
