Type;Dist;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;50.17333340000000000000;84.73333340000000000000;128.70666660000000000000;1003.79999996000000000000;640.54666660000000000000;1907.96000016000000000000;.01000000000000000000;7398978.06680000000000000000;8417324.22640000000000000000;47095.61320000000000000000;3925.62640000000000000000;59220.25280000000000000000;2248003.98680000000000000000;3.00000000000000000000;1.14000000000000000000;1.00000000000000000000;3.28960000000000000000
1;1.0;48.65333332000000000000;87.51999996000000000000;132.61333336000000000000;1032.83999988000000000000;14104.98666660000000000000;15406.61333332000000000000;.05000000000000000000;53178820.73360000000000000000;69248370.80000000000000000000;61798.56080000000000000000;2944.82600000000000000000;87782.29280000000000000000;15762596.56000000000000000000;3.00000000000000000000;1.30120000000000000000;1.00000000000000000000;3.37360000000000000000
2;0.5;62.76000000000000000000;92.15999996000000000000;146.89333340000000000000;1115.43999996000000000000;14073.96000000000000000000;15491.21333324000000000000;.05000000000000000000;53065939.54640000000000000000;52972158.46680000000000000000;146739.94640000000000000000;78417.88080000000000000000;58844.14760000000000000000;15890334.98680000000000000000;3.00000000000000000000;.99840000000000000000;1.00000000000000000000;3.33920000000000000000
2;1.0;70.23999996000000000000;104.21333328000000000000;170.26666672000000000000;1257.64000000000000000000;325958.20000000000000000000;327560.56000004000000000000;.98240000000000000000;1080124279.17360000000000000000;1014502766.16040000000000000000;2709542.80080000000000000000;1963815.37360000000000000000;99087.80040000000000000000;328075821.00040000000000000000;3.00000000000000000000;.93920000000000000000;1.00000000000000000000;3.29000000000000000000
3;0.5;55.69333332000000000000;82.44000000000000000000;125.26666668000000000000;988.92000000000000000000;822.02666668000000000000;2074.34666668000000000000;.01000000000000000000;7945140.09320000000000000000;9334132.26720000000000000000;47913.97360000000000000000;2356.21320000000000000000;58539.82640000000000000000;2413694.53520000000000000000;3.00000000000000000000;1.17560000000000000000;1.00000000000000000000;3.29000000000000000000
3;1.0;83.41333332000000000000;118.53333324000000000000;182.30666668000000000000;1448.51999996000000000000;24549.19999988000000000000;26381.97333340000000000000;.08240000000000000000;90424999.81280000000000000000;92063780.32040000000000000000;120043.89400000000000000000;6509.13320000000000000000;104933.21320000000000000000;26886107.93400000000000000000;3.00000000000000000000;1.02920000000000000000;1.00000000000000000000;3.36480000000000000000
4;0.5;87.36000000000000000000;140.32000000000000000000;326.80000000000000000000;1824.92000000000000000000;661796.00000000000000000000;664175.40000000000000000000;.66560000000000000000;2190084083.88000000000000000000;3156311363.56000000000000000000;167702.20000000000000000000;54111.72000000000000000000;1133360.96000000000000000000;665205145.16000000000000000000;1.00000000000000000000;1.44200000000000000000;1.00000000000000000000;3.29000000000000000000
4;1.0;84.40000000000000000000;141.76000000000000000000;326.20000000000000000000;1820.60000000000000000000;13983390.96000000000000000000;13985763.92000000000000000000;13.98720000000000000000;46050447381.52000000000000000000;66838411290.32000000000000000000;2006022.04000000000000000000;142661.80000000000000000000;22861739.08000000000000000000;13987143213.44000000000000000000;1.00000000000000000000;1.45000000000000000000;1.00000000000000000000;3.29000000000000000000
5;0.5;101.16000000000000000000;148.80000000000000000000;357.84000000000000000000;1957.96000000000000000000;709066.24000000000000000000;711632.00000000000000000000;.71360000000000000000;2404004404.08000000000000000000;3200810806.16000000000000000000;556400.56000000000000000000;151885.84000000000000000000;1259070.56000000000000000000;712727750.12000000000000000000;1.00000000000000000000;1.33200000000000000000;1.00000000000000000000;3.37360000000000000000
5;1.0;99.64000000000000000000;152.68000000000000000000;356.52000000000000000000;1965.60000000000000000000;14797798.88000000000000000000;14800373.32000000000000000000;14.80160000000000000000;50157303181.80000000000000000000;67733729278.60000000000000000000;9674762.28000000000000000000;2166043.28000000000000000000;20536916.28000000000000000000;14801621069.96000000000000000000;1.00000000000000000000;1.35200000000000000000;1.00000000000000000000;3.38920000000000000000
