Type;Dist;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.99;65.00000000000000000000;123.46666660000000000000;178.93333320000000000000;1249.46666660000000000000;8921195.80000000000000000000;26768438.00000000000000000000;26.77000000000000000000;29376364439.20200000000000000000;43641638535.06600000000000000000;1430147.66600000000000000000;121023.66600000000000000000;21889336.13600000000000000000;8923624239.86800000000000000000;3.00000000000000000000;1.48600000000000000000;1.00000000000000000000;3.29000000000000000000
1;0.9;60.00000020000000000000;117.26666680000000000000;168.13333340000000000000;1212.46666660000000000000;8162391.93333340000000000000;24491849.40000000000000000000;24.49200000000000000000;26881131986.33200000000000000000;39668991018.73400000000000000000;909043.06600000000000000000;106840.46800000000000000000;19145735.20000000000000000000;8164718822.13400000000000000000;3.00000000000000000000;1.47800000000000000000;1.00000000000000000000;3.29000000000000000000
1;0.5;60.80000000000000000000;120.73333340000000000000;171.53333340000000000000;1239.46666680000000000000;4542058.53333340000000000000;13630953.20000000000000000000;13.63200000000000000000;14953238878.00000000000000000000;22031386602.93200000000000000000;704885.80200000000000000000;103223.13200000000000000000;10848727.53200000000000000000;4542490354.66600000000000000000;3.00000000000000000000;1.47200000000000000000;1.00000000000000000000;3.29000000000000000000
1;0.1;60.53333320000000000000;117.73333340000000000000;168.80000000000000000000;1213.46666660000000000000;907883.33333300000000000000;2728331.60000000000000000000;2.73000000000000000000;2995824155.46600000000000000000;4411873774.73400000000000000000;187012.93400000000000000000;66749.00000000000000000000;2170017.53400000000000000000;909958215.20000000000000000000;3.00000000000000000000;1.47200000000000000000;1.00000000000000000000;3.29000000000000000000
1;0.01;59.06666660000000000000;113.80000020000000000000;158.73333340000000000000;1171.06666660000000000000;95648.33333340000000000000;291453.00000000000000000000;.29000000000000000000;321327355.26600000000000000000;466527479.80000000000000000000;88249.93400000000000000000;42865.06800000000000000000;287225.13400000000000000000;97606196.53400000000000000000;3.00000000000000000000;1.45200000000000000000;1.00000000000000000000;3.29000000000000000000
2;0.99;68.06666680000000000000;115.06666660000000000000;164.20000000000000000000;1192.33333320000000000000;100065.20000000000000000000;304814.60000000000000000000;.31000000000000000000;336074504.93400000000000000000;484210065.20000000000000000000;94134.39800000000000000000;54273.59800000000000000000;284001.60000000000000000000;102082339.60000000000000000000;3.00000000000000000000;1.44000000000000000000;1.00000000000000000000;3.29000000000000000000
2;0.9;86.13333340000000000000;149.33333340000000000000;219.60000000000000000000;1607.66666660000000000000;1203831.33333340000000000000;3617682.20000000000000000000;3.62200000000000000000;4044654657.20000000000000000000;4808330844.46400000000000000000;2731328.80000000000000000000;86520.93200000000000000000;3185221.26800000000000000000;1206580584.26600000000000000000;3.00000000000000000000;1.18800000000000000000;1.00000000000000000000;3.35000000000000000000
2;0.5;69.33333340000000000000;119.53333340000000000000;178.46666680000000000000;1288.13333320000000000000;4781832.73333340000000000000;14350464.60000000000000000000;14.35400000000000000000;15748592760.40000000000000000000;22987791917.60000000000000000000;1424646.80000000000000000000;232259.33400000000000000000;11425390.13400000000000000000;4783927004.66800000000000000000;3.00000000000000000000;1.46000000000000000000;1.00000000000000000000;3.29000000000000000000
2;0.1;69.86666680000000000000;118.86666680000000000000;172.26666660000000000000;1265.46666660000000000000;8618763.93333320000000000000;25861171.20000000000000000000;25.86400000000000000000;28358320996.06800000000000000000;41352307084.06600000000000000000;2612588.80200000000000000000;377110.20000000000000000000;19771340.73400000000000000000;8614458793.80000000000000000000;3.00000000000000000000;1.45800000000000000000;1.00000000000000000000;3.29000000000000000000
2;0.01;79.93333320000000000000;135.53333340000000000000;202.33333340000000000000;1483.93333340000000000000;10674699.00000020000000000000;32029802.20000000000000000000;32.03200000000000000000;35840224471.40000000000000000000;46239983986.13200000000000000000;15180378.26800000000000000000;382539.19800000000000000000;23983563.13200000000000000000;10677174146.86600000000000000000;3.00000000000000000000;1.29400000000000000000;1.00000000000000000000;3.35600000000000000000
3;0.99;125.66666680000000000000;198.00000000000000000000;360.60000000000000000000;1843.66666680000000000000;9132000.26666660000000000000;27403584.60000000000000000000;27.40600000000000000000;30200711112.06600000000000000000;43723332250.73400000000000000000;1691770.93200000000000000000;164362.13200000000000000000;21170474.00000000000000000000;9135448447.80000000000000000000;3.00000000000000000000;1.45200000000000000000;1.00000000000000000000;3.30400000000000000000
3;0.9;131.60000000000000000000;207.86666680000000000000;384.66666660000000000000;1948.00000020000000000000;8592701.26666640000000000000;25786120.20000000000000000000;25.78800000000000000000;28902403019.33200000000000000000;39751356974.26600000000000000000;3558303.33600000000000000000;173243.00000000000000000000;18848735.53200000000000000000;8596344058.93200000000000000000;3.00000000000000000000;1.37800000000000000000;1.00000000000000000000;3.36000000000000000000
3;0.5;139.73333340000000000000;230.46666680000000000000;415.66666660000000000000;2144.93333340000000000000;5173015.46666660000000000000;15527838.80000000000000000000;15.53200000000000000000;17372891075.19800000000000000000;22492207247.79800000000000000000;6014020.60000000000000000000;120640.80000000000000000000;11648178.20000000000000000000;5177324598.60000000000000000000;3.00000000000000000000;1.30000000000000000000;1.00000000000000000000;3.35600000000000000000
3;0.1;127.73333320000000000000;197.06666660000000000000;350.00000000000000000000;1805.60000000000000000000;915725.33333320000000000000;2754617.20000000000000000000;2.76000000000000000000;3026927184.13400000000000000000;4443715259.73400000000000000000;235192.13400000000000000000;74450.60200000000000000000;2227962.73400000000000000000;919397725.60000000000000000000;3.00000000000000000000;1.46600000000000000000;1.00000000000000000000;3.29000000000000000000
3;0.01;125.46666660000000000000;200.06666660000000000000;363.13333320000000000000;1859.66666660000000000000;104719.06666640000000000000;321802.20000000000000000000;.32400000000000000000;363807976.46600000000000000000;493656710.66400000000000000000;175095.13200000000000000000;51326.66800000000000000000;315840.13400000000000000000;108431840.73400000000000000000;3.00000000000000000000;1.35600000000000000000;1.00000000000000000000;3.35600000000000000000
4;0.99;146.40000000000000000000;198.20000000000000000000;525.66666660000000000000;2368.46666680000000000000;186996.60000000000000000000;570706.00000000000000000000;.57800000000000000000;631044386.26600000000000000000;890514413.06600000000000000000;248505.33200000000000000000;119360.93400000000000000000;478517.00000000000000000000;191709904.79800000000000000000;3.00000000000000000000;1.41000000000000000000;1.00000000000000000000;3.29000000000000000000
4;0.9;142.06666660000000000000;198.46666680000000000000;523.20000000000000000000;2367.59999980000000000000;1738070.33333340000000000000;5223905.00000000000000000000;5.23000000000000000000;5738371065.13200000000000000000;8263588816.80000000000000000000;820182.73400000000000000000;350784.53600000000000000000;3485958.46400000000000000000;1742966673.66600000000000000000;3.00000000000000000000;1.44000000000000000000;1.00000000000000000000;3.29000000000000000000
4;0.5;151.06666660000000000000;203.53333340000000000000;535.60000000000000000000;2390.86666680000000000000;8573981.66666660000000000000;25731788.20000000000000000000;25.73400000000000000000;28244646518.66600000000000000000;41002513601.67000000000000000000;2985064.33400000000000000000;732888.20000000000000000000;17191665.06600000000000000000;8579204654.80000000000000000000;3.00000000000000000000;1.45000000000000000000;1.00000000000000000000;3.29000000000000000000
4;0.1;144.13333320000000000000;213.26666660000000000000;559.80000000000000000000;2484.46666680000000000000;16582282.33333360000000000000;49757052.00000000000000000000;49.76200000000000000000;55799759223.26600000000000000000;73720280818.93600000000000000000;10338055.46600000000000000000;845924.19800000000000000000;31376574.19800000000000000000;16587536375.73400000000000000000;3.00000000000000000000;1.32000000000000000000;1.00000000000000000000;3.36400000000000000000
4;0.01;146.13333340000000000000;199.33333360000000000000;526.13333340000000000000;2401.46666660000000000000;16896153.13333320000000000000;50698278.60000000000000000000;50.70200000000000000000;55643229307.00000000000000000000;81029979162.86600000000000000000;5390475.06600000000000000000;688664.06800000000000000000;32386126.00000000000000000000;16901631283.26800000000000000000;3.00000000000000000000;1.46000000000000000000;1.00000000000000000000;3.29000000000000000000
5;0.99;63.66666680000000000000;111.46666660000000000000;328.26666660000000000000;1409.53333340000000000000;9075827.86666660000000000000;27233222.40000000000000000000;27.23600000000000000000;29877860466.73400000000000000000;43872657240.86600000000000000000;1303192.60000000000000000000;150011.53400000000000000000;21111961.20000000000000000000;9075745524.06800000000000000000;3.00000000000000000000;1.47000000000000000000;1.00000000000000000000;3.29000000000000000000
5;0.9;68.26666660000000000000;118.40000000000000000000;347.33333320000000000000;1514.66666660000000000000;8670238.79999980000000000000;26016862.40000000000000000000;26.02000000000000000000;28865642636.26800000000000000000;40122553690.66600000000000000000;4919021.46600000000000000000;134591.80000000000000000000;20393767.00200000000000000000;8672737504.46600000000000000000;3.00000000000000000000;1.39200000000000000000;1.00000000000000000000;3.32600000000000000000
5;0.5;68.20000000000000000000;116.59999980000000000000;346.39999980000000000000;1497.00000000000000000000;4900021.60000020000000000000;14706149.40000000000000000000;14.70800000000000000000;16491141799.26800000000000000000;22148206793.73400000000000000000;1884619.53400000000000000000;116897.80000000000000000000;10608980.93200000000000000000;4902613815.73200000000000000000;3.00000000000000000000;1.34200000000000000000;1.00000000000000000000;3.36400000000000000000
5;0.1;63.13333340000000000000;111.86666680000000000000;327.33333340000000000000;1366.39999980000000000000;924032.73333340000000000000;2777704.40000000000000000000;2.77800000000000000000;3049922936.46800000000000000000;4435709074.73400000000000000000;176739.13400000000000000000;63771.13400000000000000000;2195634.00000000000000000000;926444187.86600000000000000000;3.00000000000000000000;1.45600000000000000000;1.00000000000000000000;3.29000000000000000000
