Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2094965;13387;20922;49.25666663000000000000;106.78666666000000000000;159.33333334000000000000;1022.89999998000000000000;96.48999992000000000000;1434.76666666000000000000;.00080000000000000000;5100247.95630000000000000000;5153967.37970000000000000000;54366.47030000000000000000;4791.86380000000000000000;47658.37990000000000000000;1548764.35650000000000000000;3.00000000000000000000;1.01900000000000000000;.99190000000000000000;3.29120000000000000000
2;0.5;2088704;13387;20922;66.02999997000000000000;118.48333329000000000000;223.46333331000000000000;1326.69333335000000000000;60523.45000003000000000000;62258.12000000000000000000;.19060000000000000000;205847956.86960000000000000000;193912393.07060000000000000000;413769.49350000000000000000;335172.72690000000000000000;86565.81020000000000000000;62525621.17310000000000000000;3.00000000000000000000;.94200000000000000000;.99790000000000000000;3.29010000000000000000
3;0.5;2175069;13387;20922;60.06333332000000000000;108.80999999000000000000;200.74333333000000000000;1184.42999995000000000000;17248.76333336000000000000;18802.80999994000000000000;.06060000000000000000;62588321.20030000000000000000;82350263.29320000000000000000;110693.65980000000000000000;40582.14650000000000000000;73872.22320000000000000000;19013485.07350000000000000000;3.00000000000000000000;1.31620000000000000000;.99530000000000000000;3.28970000000000000000
4;0.5;1926425;13387;20922;96.32000000000000000000;184.44000000000000000000;399.84000000000000000000;1940.00000000000000000000;664.60000000000000000000;3285.20000000000000000000;.00070000000000000000;11962787.30000000000000000000;11160725.17000000000000000000;112134.12000000000000000000;13609.68000000000000000000;80832.68000000000000000000;3559806.96000000000000000000;1.00000000000000000000;.93440000000000000000;.99490000000000000000;3.36250000000000000000
5;0.5;1885468;13387;20922;110.34000000000000000000;196.24000000000000000000;480.32000000000000000000;2311.09000000000000000000;73304.45000000000000000000;76402.44000000000000000000;.07870000000000000000;259227036.44000000000000000000;211076393.27000000000000000000;646109.74000000000000000000;344937.20000000000000000000;154375.13000000000000000000;76877413.85000000000000000000;1.00000000000000000000;.81540000000000000000;.99590000000000000000;3.37160000000000000000
6;0.5;2277196;13387;20922;109.15000000000000000000;186.70000000000000000000;460.96000000000000000000;2219.77000000000000000000;22028.73000000000000000000;25005.31000000000000000000;.02790000000000000000;85612272.88000000000000000000;91877656.53000000000000000000;206822.71000000000000000000;65083.86000000000000000000;120195.59000000000000000000;25439198.29000000000000000000;1.00000000000000000000;1.07340000000000000000;.99360000000000000000;3.36660000000000000000
7;0.5;2512985;13387;20922;69.27999999000000000000;125.48999998000000000000;384.22333333000000000000;1540.22333330000000000000;139.43333335000000000000;2258.65000005000000000000;.01060000000000000000;8386876.80010000000000000000;7551097.94270000000000000000;88995.59020000000000000000;7378.65000000000000000000;60210.11350000000000000000;2485529.94990000000000000000;3.00000000000000000000;.90260000000000000000;.99220000000000000000;3.37440000000000000000
8;0.5;2003462;13387;20922;72.10666666000000000000;111.90999998000000000000;408.86000001000000000000;1582.25999995000000000000;61149.45666664000000000000;63324.59333335000000000000;.19070000000000000000;209676091.00660000000000000000;196633587.60640000000000000000;434877.09300000000000000000;345169.38640000000000000000;99241.35940000000000000000;63692234.88680000000000000000;3.00000000000000000000;.93820000000000000000;.99780000000000000000;3.29000000000000000000
9;0.5;2259897;13387;20922;81.04000006000000000000;127.66666663000000000000;486.47666665000000000000;1767.25333331000000000000;21522.43333336000000000000;23984.87000002000000000000;.07080000000000000000;82100925.83710000000000000000;89083426.79980000000000000000;197613.88690000000000000000;51021.16020000000000000000;98380.13340000000000000000;24376548.01960000000000000000;3.00000000000000000000;1.08580000000000000000;.99600000000000000000;3.36910000000000000000
10;0.5;2265746;13387;20922;68.72000000000000000000;16.78000000000000000000;40.06000000000000000000;1225.33000000000000000000;7.11000000000000000000;1358.00000000000000000000;.00060000000000000000;3684109.86000000000000000000;3071080.23000000000000000000;41657.90000000000000000000;2065.55000000000000000000;31053.35000000000000000000;1090364.39000000000000000000;1.00000000000000000000;.84620000000000000000;1.00370000000000000000;3.38430000000000000000
