Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2268808;13387;20922;69.89666665000000000000;143.22333331000000000000;208.83666665000000000000;1363.31333334000000000000;118.06000002000000000000;1903.32999998000000000000;.01060000000000000000;7078604.15950000000000000000;5472796.54380000000000000000;68739.63660000000000000000;6183.79660000000000000000;49275.03260000000000000000;2106642.16700000000000000000;3.00000000000000000000;.77950000000000000000;.99100000000000000000;3.36000000000000000000
2;0.5;2283956;13387;20922;82.51666666000000000000;149.63333334000000000000;283.53666671000000000000;1634.96333332000000000000;75020.89333330000000000000;77171.54333332000000000000;.23170000000000000000;260329822.81640000000000000000;205987218.90050000000000000000;592129.03000000000000000000;328806.12310000000000000000;127157.46000000000000000000;77561790.80660000000000000000;3.00000000000000000000;.79100000000000000000;.99810000000000000000;3.35630000000000000000
3;0.5;2243108;13387;20922;72.53000001000000000000;132.85000002000000000000;244.55000003000000000000;1412.88333338000000000000;20994.12333336000000000000;22856.93666668000000000000;.07060000000000000000;78080322.30320000000000000000;85951895.07960000000000000000;164254.25990000000000000000;39049.06670000000000000000;85793.10990000000000000000;23139529.78330000000000000000;3.00000000000000000000;1.10070000000000000000;.99580000000000000000;3.37480000000000000000
4;0.5;2290622;13387;20922;97.64000000000000000000;186.65000000000000000000;401.63000000000000000000;1939.29000000000000000000;678.81000000000000000000;3304.02000000000000000000;.00060000000000000000;11961131.57000000000000000000;11144230.51000000000000000000;111603.07000000000000000000;14917.81000000000000000000;81793.62000000000000000000;3585025.15000000000000000000;1.00000000000000000000;.93320000000000000000;.99510000000000000000;3.33710000000000000000
5;0.5;2241622;13387;20922;113.71000000000000000000;194.74000000000000000000;491.55000000000000000000;2328.46000000000000000000;75299.15000000000000000000;78427.61000000000000000000;.08060000000000000000;265658444.36000000000000000000;211821698.20000000000000000000;630138.94000000000000000000;334805.30000000000000000000;159187.09000000000000000000;78907442.13000000000000000000;1.00000000000000000000;.79930000000000000000;.99590000000000000000;3.36690000000000000000
6;0.5;2008342;13387;20922;107.52000000000000000000;180.24000000000000000000;430.82000000000000000000;2154.30000000000000000000;21512.32000000000000000000;24385.20000000000000000000;.02470000000000000000;83364907.61000000000000000000;91531376.24000000000000000000;201146.51000000000000000000;52740.97000000000000000000;118611.17000000000000000000;24722945.48000000000000000000;1.00000000000000000000;1.09960000000000000000;.99320000000000000000;3.37270000000000000000
7;0.5;2165399;13387;20922;56.58666670000000000000;101.03666673000000000000;312.40333332000000000000;1284.18666666000000000000;112.13000003000000000000;1866.34333333000000000000;.01060000000000000000;6665493.85010000000000000000;7188320.52660000000000000000;76796.88310000000000000000;7004.19340000000000000000;58855.39670000000000000000;2025275.52360000000000000000;3.00000000000000000000;1.08900000000000000000;.99210000000000000000;3.29080000000000000000
8;0.5;2520456;13387;20922;73.77666669000000000000;114.64000001000000000000;415.47000000000000000000;1609.61333331000000000000;61664.34000001000000000000;63877.83999998000000000000;.19150000000000000000;211461683.98000000000000000000;196252123.97690000000000000000;428964.78710000000000000000;344681.61960000000000000000;99989.40350000000000000000;64231640.06020000000000000000;3.00000000000000000000;.92710000000000000000;.99750000000000000000;3.29000000000000000000
9;0.5;2346278;13387;20922;71.05666668000000000000;107.48666665000000000000;406.16000002000000000000;1511.84333337000000000000;18223.24333338000000000000;20319.79000003000000000000;.06300000000000000000;68059149.73690000000000000000;85319696.90370000000000000000;139426.43960000000000000000;50756.26360000000000000000;86975.50690000000000000000;20629356.36640000000000000000;3.00000000000000000000;1.27070000000000000000;.99630000000000000000;3.29500000000000000000
10;0.5;2179377;13387;20922;69.40000000000000000000;15.26000000000000000000;44.95000000000000000000;1174.04000000000000000000;6.09000000000000000000;1309.74000000000000000000;.00060000000000000000;3378596.69000000000000000000;2926630.38000000000000000000;35647.30000000000000000000;1130.29000000000000000000;30006.54000000000000000000;1028598.16000000000000000000;1.00000000000000000000;.86860000000000000000;1.00060000000000000000;3.28840000000000000000
